,station_id,lat,lng,trips_2010,trips_2011,trips_2012,trips_2013,trips_2014,trips_2015,trips_2016,trips_2017,trips_2018,trips_2019
371,31659,38.885908,-76.991476,0,0,0,0,0,0,0,0,0,5835
372,31660,38.902685,-76.995126,0,0,0,0,0,0,0,0,0,381
373,31661,38.89975983,-76.99484583,0,0,0,0,0,0,0,0,0,0
374,31662,38.90242483,-77.0056755,0,0,0,0,0,0,0,0,0,0
375,31663,38.8840581,-76.9863852,0,0,0,0,0,0,0,0,0,0
376,31664,38.866277,-77.010551,0,0,0,0,0,0,0,0,0,0
377,31665,38.885482,-76.977187,0,0,0,0,0,0,0,0,0,0
378,31666,38.881123,-77.017658,0,0,0,0,0,0,0,0,0,0
379,31667,38.863743,-77.013814,0,0,0,0,0,0,0,0,0,0
380,31668,38.87175383,-77.006118,0,0,0,0,0,0,0,0,0,0
381,31700,38.86006033,-76.96784783,21,185,209,196,383,254,317,349,304,439
382,31701,38.86921767,-76.95965267,0,50,156,324,158,155,279,429,317,373
383,31702,38.87807,-76.9607535,14,65,114,78,54,58,153,217,128,138
384,31703,38.897063,-76.947446,14,191,230,270,435,375,485,871,706,544
385,31704,38.901385,-76.941877,4,1,0,2,139,101,309,338,394,202
386,31705,38.89400717,-76.94798117,6,99,249,215,350,204,216,501,426,360
387,31706,38.86559,-76.952103,0,70,173,150,82,63,279,465,538,588
388,31707,38.889935,-76.93723,0,5,532,762,687,322,304,656,505,483
389,31708,38.896544,-76.96012,0,1,680,1269,1306,1012,1081,1508,1710,1957
390,31710,38.898511,-76.931919,0,0,0,19,228,75,198,206,174,323
391,31711,38.908473,-76.933099,0,0,0,3,271,64,83,135,201,319
392,31712,38.89448633,-76.97481767,0,0,0,0,0,1053,3084,3921,3840,4147
393,31713,38.897407,-76.925907,0,0,0,0,0,0,69,95,120,198
394,31714,38.89176933,-76.913609,0,0,0,0,0,0,19,81,114,98
395,31715,38.883011,-76.949709,0,0,0,0,0,0,0,10,63,84
396,31716,38.895954,-76.967844,0,0,0,0,0,0,0,0,0,95
397,31717,38.90046849,-76.94728732,0,0,0,0,0,0,0,0,0,21
398,31718,38.87595067,-76.94039083,0,0,0,0,0,0,0,0,0,1
399,31719,38.8974996,-76.9695094,0,0,0,0,0,0,0,0,0,0
400,31800,38.84322989,-76.99937582,0,0,0,69,256,221,236,555,415,354
401,31801,38.862669,-76.994637,33,603,756,990,1259,1665,1773,2310,2290,2138
402,31802,38.86738117,-76.988002,65,487,632,828,927,1057,1644,1974,1663,1593
403,31803,38.86661933,-76.985282,0,0,237,483,646,1149,1125,1136,914,702
404,31804,38.86576017,-76.97841517,11,403,284,472,334,464,849,709,596,606
405,31805,38.87306117,-76.97105067,33,332,399,239,522,382,487,639,904,1162
406,31806,38.84474817,-76.98772117,0,4,253,178,328,356,287,549,545,652
407,31807,38.863897,-76.990037,0,0,0,105,349,772,885,1160,1128,1221
408,31811,38.831516,-77.008133,0,0,0,0,0,0,121,152,162,187
409,31812,38.87070783,-76.982373,0,0,0,0,0,0,151,711,559,513
410,31813,38.8462715,-76.9818895,0,0,0,0,0,0,0,87,290,469
411,31814,38.84377,-76.97557,0,0,0,0,0,0,0,29,93,110
412,31815,38.84623,-76.97703,0,0,0,0,0,0,0,8,42,74
413,31816,38.836,-77.0009,0,0,0,0,0,0,0,55,148,326
414,31817,38.824481,-77.005497,0,0,0,0,0,0,0,20,130,257
415,31818,38.82373,-77.00223,0,0,0,0,0,0,0,40,128,137
416,31820,38.87335,-76.9834,0,0,0,0,0,0,0,0,1327,1721
417,31823,38.835737,-76.983144,0,0,0,0,0,0,0,0,0,79
418,31824,38.836645,-76.993588,0,0,0,0,0,0,0,0,0,4
419,31825,38.85736904,-76.97768801,0,0,0,0,0,0,0,0,0,2
420,31826,38.8693365,-76.978519,0,0,0,0,0,0,0,0,0,0
421,31900,38.898301,-77.118009,0,0,0,0,0,0,878,1112,946,1042
422,31901,38.884829,-77.127671,0,0,0,0,0,0,757,731,668,666
423,31902,38.876528,-77.12712,0,0,0,0,0,0,770,1479,1526,1606
424,31903,38.799267,-77.0447,0,0,0,0,0,0,872,1398,1400,1422
425,31904,38.88534583,-77.156506,0,0,0,0,0,0,616,1350,1391,2793
426,31905,38.880992,-77.135271,0,0,0,0,0,0,260,1275,1743,1737
427,31906,38.812711,-77.061715,0,0,0,0,0,0,657,993,942,1232
428,31907,38.798133,-77.0487,0,0,0,0,0,0,1031,2476,2094,2101
429,31908,38.828437,-77.086031,0,0,0,0,0,0,243,738,553,595
430,31909,38.843422,-77.064016,0,0,0,0,0,0,435,1617,1168,1219
431,31910,38.822738,-77.049265,0,0,0,0,0,0,620,1023,1453,1540
432,31912,38.84129433,-77.06308233,0,0,0,0,0,0,195,500,768,834
433,31913,38.82005823,-77.06282079,0,0,0,0,0,0,596,1308,988,833
434,31914,38.79760183,-77.05381733,0,0,0,0,0,0,469,1133,1608,1198
435,31915,38.818748,-77.047783,0,0,0,0,0,0,607,1456,1163,1460
436,31916,38.829545,-77.047844,0,0,0,0,0,0,1186,3742,3975,3805
437,31917,38.89386,-77.070862,0,0,0,0,0,0,292,5243,4882,4183
438,31918,38.812351,-77.040691,0,0,0,0,0,0,171,3271,3221,2910
439,31919,38.876695,-77.112982,0,0,0,0,0,0,16,1720,1716,1261
440,31920,38.888282,-77.111066,0,0,0,0,0,0,0,1224,1498,1397
441,31921,38.8860185,-77.142267,0,0,0,0,0,0,0,371,454,644
442,31923,38.858524,-77.103728,0,0,0,0,0,0,0,152,323,605
443,31924,38.892556,-77.082089,0,0,0,0,0,0,0,1772,2779,2521
444,31925,38.848304,-77.05122,0,0,0,0,0,0,0,0,664,2329
445,31926,38.879476,-77.114563,0,0,0,0,0,0,0,0,0,0
446,31927,38.808161,-77.100796,0,0,0,0,0,0,0,0,0,0
447,31928,38.840831,-77.10885517,0,0,0,0,0,0,0,0,0,0
448,31929,38.7930647,-77.049436,0,0,0,0,0,0,0,0,0,0
449,31930,38.802738,-77.082462,0,0,0,0,0,0,0,0,0,0
450,31931,38.814185,-77.043809,0,0,0,0,0,0,0,0,0,0
451,31933,38.801947,-77.040293,0,0,0,0,0,0,0,0,0,0
452,31935,38.852903,-77.045916,0,0,0,0,0,0,0,0,0,0
453,31936,38.864838,-77.056873,0,0,0,0,0,0,0,0,0,0
454,31937,38.890863,-77.074893,0,0,0,0,0,0,0,0,0,0
455,31938,38.853002,-77.059496,0,0,0,0,0,0,0,0,0,0
456,31939,38.895068,-77.07386,0,0,0,0,0,0,0,0,0,0
457,31940,38.88625607,-77.08426237,0,0,0,0,0,0,0,0,0,0
458,32000,38.988562,-77.096539,0,0,0,237,1280,1262,1242,1737,1445,1268
459,32001,38.98537433,-77.02300467,0,0,0,161,1199,1692,1711,1482,1535,1646
460,32002,38.981103,-77.097426,0,0,0,402,2147,2569,2316,2910,2296,2293
461,32003,38.983838,-77.09221,0,0,0,71,672,947,1175,1414,989,682
462,32004,39.096312,-77.192672,0,0,0,46,326,235,415,411,293,265
463,32005,39.093783,-77.202501,0,0,0,21,109,120,139,95,57,72
464,32006,38.987,-77.029417,0,0,0,1722,582,887,904,1112,663,545
465,32007,39.084125,-77.151291,0,0,0,128,388,382,379,393,322,228
466,32008,38.98954,-77.098029,0,0,0,204,1298,1784,1317,1532,1339,1205
467,32009,39.094772,-77.145213,0,0,0,15,268,204,110,206,164,99
468,32010,38.98123667,-77.01124483,0,0,0,159,890,937,694,525,460,441
469,32011,38.983601,-77.00636667,0,0,0,95,772,703,667,704,527,553
470,32012,38.994994,-77.02947417,0,0,0,225,804,1053,1216,1518,1274,1260
471,32013,38.983525,-77.095367,0,0,0,394,1435,1483,1707,1652,1480,1510
472,32014,38.9615985,-77.08610217,0,0,0,569,2326,3539,3269,3255,2427,2468
473,32016,39.099376,-77.188014,0,0,0,21,212,171,262,271,263,348
474,32017,39.083673,-77.149162,0,0,0,27,276,146,177,371,389,294
475,32018,39.123513,-77.15741,0,0,0,15,65,80,77,419,546,354
476,32019,38.99026583,-77.02963067,0,0,0,152,1027,1291,1526,1482,939,877
477,32021,38.982456,-77.091991,0,0,0,107,1039,1106,1413,1358,1021,873
478,32022,39.0253872,-77.044563,0,0,0,20,194,196,342,316,111,183
479,32023,39.095661,-77.159048,0,0,0,25,235,299,359,514,184,144
480,32024,38.989724,-77.023854,0,0,0,54,823,1350,1692,1574,1295,1135
481,32025,38.975,-77.01121,0,0,0,146,1462,2020,1960,1960,1564,1782
482,32026,38.977933,-77.006472,0,0,0,96,2004,2754,2768,2802,2278,2430
483,32027,38.99239583,-77.10007433,0,0,0,187,1490,1326,1036,1869,1643,1915
484,32028,38.990639,-77.100239,0,0,0,96,996,742,909,616,535,589
