,station_id,lat,lng,address,trips_2010,trips_2011,trips_2012,trips_2013,trips_2014,trips_2015,trips_2016,trips_2017,trips_2018,trips_2019
208,31277,38.89828294952361,-77.03973233699799,17th & G St NW,0,0,0,0,3559,22259,24259,23503,23509,17543
209,31278,38.9126585,-77.0418445,18th & R St NW,0,0,0,0,1528,20800,21437,21771,17952,15476
210,31279,38.898412,-77.043182,19th & G St NW,0,0,0,0,0,8860,11375,11184,11018,10251
211,31280,38.913761,-77.027025,11th & S St NW,0,0,0,0,0,9847,12415,12759,11033,12138
212,31281,38.908640000000005,-77.02277,8th & O St NW,0,0,0,0,0,9937,24042,26438,25954,22357
213,31282,38.912652,-77.036278,16th & R St NW,0,0,0,0,0,0,11117,13434,11154,10908
214,31283,38.90369116666667,-77.03190083333334,14th & L St NW,0,0,0,0,0,0,10299,14254,14547,12815
215,31284,38.893494833333335,-77.04150616666666,18th & C St NW,0,0,0,0,0,0,5901,8116,7664,6813
216,31285,38.909223166666656,-77.04865483333333,22nd & P ST NW,0,0,0,0,0,0,9829,14806,13903,12161
217,31286,38.908429999999996,-77.02714,11th & O St NW,0,0,0,0,0,0,8956,14985,15861,14197
218,31287,38.88432272414662,-77.02601015567778,10th St & L'Enfant Plaza SW,0,0,0,0,0,0,4357,6416,6103,8723
219,31288,38.890496,-77.017247,4th St & Madison Dr NW,0,0,0,0,0,0,18263,37751,41888,32924
220,31289,38.890539000000004,-77.04938299999999,Henry Bacon Dr & Lincoln Memorial Circle NW,0,0,0,0,0,0,21469,40659,41020,34185
221,31290,38.888096999999995,-77.038325,17th St & Independence Ave SW,0,0,0,0,0,0,13733,30088,29578,23259
222,31291,38.901136451737045,-77.03445106744765,Vermont Ave & I St NW,0,0,0,0,0,0,3307,9961,13963,13760
223,31292,38.892441,-77.048947,22nd St & Constitution Ave NW,0,0,0,0,0,0,1231,8268,8108,8106
224,31293,38.902814,-77.06104300000001,31st & Water St NW,0,0,0,0,0,0,0,7363,8721,8267
225,31294,38.88345,-77.021741,7th & E St SW,0,0,0,0,0,0,0,6747,7402,7201
226,31295,38.90540216666667,-77.06528,Potomac & M St NW,0,0,0,0,0,0,0,9715,12949,11157
227,31296,38.924088,-77.040787,Columbia & Ontario Rd NW,0,0,0,0,0,0,0,8216,14410,17385
228,31297,38.8995,-77.05415500000001,Virginia Ave & 25th St NW,0,0,0,0,0,0,0,3865,6090,5290
229,31298,38.905424,-77.034674,15th & M St NW,0,0,0,0,0,0,0,9513,16745,17969
230,31299,38.912644,-77.04564,Connecticut Ave & R St NW,0,0,0,0,0,0,0,8231,15190,14375
231,31300,38.944551000000004,-77.063896,Van Ness Metro / UDC,581,5812,7413,7204,6384,6628,6177,5082,4504,3678
232,31301,38.93877166666667,-77.08724733333334,Ward Circle / American University,568,4482,5072,5181,5158,5263,4466,4339,3298,3090
233,31302,38.934881,-77.072755,Wisconsin Ave & Newark St NW,669,7568,8179,5496,5148,7840,8670,8598,7936,8287
234,31303,38.947607,-77.079382,Tenleytown / Wisconsin Ave & Albemarle St NW,548,7349,8351,8841,8429,8951,7999,7143,6720,6201
235,31304,38.922581,-77.070334,36th & Calvert St NW / Glover Park,191,4898,5060,6166,5953,5314,5031,5260,4835,4542
236,31305,38.9343255,-77.0580075,Connecticut Ave & Newark St NW / Cleveland Park,407,7378,8814,9092,7705,7640,6436,6270,5563,5624
237,31306,38.92262516666667,-77.07715233333333,39th & Calvert St NW / Stoddert,0,0,6043,7809,8343,7944,6789,6374,6423,7104
